Employee #,Month,Year,Date,Time-in,Time-out,Number of Hours Attended,Hourly Rate,Rice Subsidy,Phone Allowance,Clothing Allowance
1,September,2022,9/1/2022,8:00,17:00,9,373.04,1500,1000,1000
2,September,2022,9/1/2022,8:00,17:00,9,255.8,1500,800,800
3,September,2022,9/1/2022,8:00,17:00,9,255.8,1500,800,800
4,September,2022,9/1/2022,8:00,17:00,9,362.05,1500,1000,1000
5,September,2022,9/1/2022,8:00,17:00,9,133.93,1500,500,500
6,September,2022,9/1/2022,8:00,17:00,9,133.93,1500,500,500
7,September,2022,9/1/2022,8:27,17:00,8.55,142.86,1500,500,500
8,September,2022,9/1/2022,8:01,17:00,8.98,142.86,1500,500,500
9,September,2022,9/1/2022,8:05,17:00,8.92,133.93,1500,500,500
10,September,2022,9/1/2022,8:00,17:00,9,133.93,1500,500,500
11,September,2022,9/1/2022,8:00,17:00,9,229.02,1500,800,800
12,September,2022,9/1/2022,8:00,17:00,9,249.11,1500,800,800
13,September,2022,9/1/2022,8:00,17:00,9,377.98,1500,1000,1000
14,September,2022,9/1/2022,8:00,17:00,9,138.39,1500,500,500
15,September,2022,9/1/2022,8:00,17:00,9,138.39,0,0,0
16,September,2022,9/1/2022,8:28,17:00,8.53,142.86,0,0,0
17,September,2022,9/1/2022,8:00,17:00,9,133.93,0,0,0
18,September,2022,9/1/2022,8:00,17:00,9,133.93,0,0,0
19,September,2022,9/1/2022,8:00,17:00,9,142.86,0,0,0
20,September,2022,9/1/2022,8:00,17:00,9,147.32,0,0,0
21,September,2022,9/1/2022,8:11,17:00,8.82,147.32,0,0,0
22,September,2022,9/1/2022,8:00,17:00,9,142.86,0,0,0
23,September,2022,9/1/2022,8:00,17:00,9,133.93,0,0,0
24,September,2022,9/1/2022,8:21,17:00,8.65,133.93,0,0,0
25,September,2022,9/1/2022,8:00,17:00,9,133.93,0,0,0
1,September,2022,9/2/2022,8:00,17:00,9,373.04,0,0,0
2,September,2022,9/2/2022,8:00,17:00,9,255.8,0,0,0
3,September,2022,9/2/2022,8:00,17:00,9,255.8,0,0,0
4,September,2022,9/2/2022,8:00,17:00,9,362.05,0,0,0
5,September,2022,9/2/2022,8:00,17:00,9,133.93,0,0,0
6,September,2022,9/2/2022,8:00,17:00,9,133.93,0,0,0
7,September,2022,9/2/2022,8:00,17:00,9,142.86,0,0,0
8,September,2022,9/2/2022,8:00,17:00,9,142.86,0,0,0
9,September,2022,9/2/2022,8:00,17:00,9,133.93,0,0,0
10,September,2022,9/2/2022,8:00,17:00,9,133.93,0,0,0
11,September,2022,9/2/2022,8:00,17:00,9,229.02,0,0,0
12,September,2022,9/2/2022,8:00,17:00,9,249.11,0,0,0
13,September,2022,9/2/2022,8:00,17:00,9,377.98,0,0,0
14,September,2022,9/2/2022,8:00,17:00,9,138.39,0,0,0
15,September,2022,9/2/2022,8:00,17:00,9,138.39,0,0,0
16,September,2022,9/2/2022,8:00,17:00,9,142.86,0,0,0
